,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,lyrics
0,0.32,0.798,6,-9.66,0,0.0584,0.00152,0.251,0.0734,0.407,138.046,3SS3dDG9lKQxvfcJ7O4oTN,3,
1,0.434,0.6,5,-10.784,0,0.0286,0.867,0.451,0.111,0.753,106.511,3Jw4lBWbcznhlitliEMW0x,4,
